Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Linked Product (product.metafields.custom.linked_product),ManufacturerSKU (product.metafields.custom.manufacturersku),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Euro Sizing (product.metafields.product.euro_sizing),Gender (product.metafields.product.gender),Cushioning (product.metafields.productspecs.cushioning),Drop (product.metafields.productspecs.drop),Heel Stack (product.metafields.productspecs.heel_stack),Support (product.metafields.productspecs.support),Surface (product.metafields.productspecs.surface),Weight (product.metafields.productspecs.weight),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Footwear material (product.metafields.shopify.footwear-material),Shoe features (product.metafields.shopify.shoe-features),Shoe fit (product.metafields.shopify.shoe-fit),Shoe size (product.metafields.shopify.shoe-size),Sneaker style (product.metafields.shopify.sneaker-style),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Included / New Zealand,Price / New Zealand,Compare At Price / New Zealand,Status
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,6.5,,,White/Ash Rock,,,,,'4550457327770,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-cool-grey-safety-yellow-5.jpg?v=1725114056,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-white-ash-rock-1.jpg?v=1725114057,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,6.5,,,Cosmos/Ash Rock,,,,,'4550457316286,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-cool-grey-safety-yellow-6.jpg?v=1725114057,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-cosmos-ash-rock-1.jpg?v=1725114057,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,6.5,,,White/Dusty Mauve,,,,,'4550457848534,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-cosmos-ash-rock-1.jpg?v=1725114057,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-white-dusty-mauve-1.jpg?v=1725114057,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,6.5,,,Black/Bold Magenta,,,,,'4550457884815,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-cosmos-ash-rock-2.jpg?v=1725114057,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-black-bold-magenta-1.jpg?v=1725114056,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,7,,,White/Ash Rock,,,,,'4550457327756,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-cosmos-ash-rock-3.jpg?v=1725114057,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-white-ash-rock-1.jpg?v=1725114057,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,7,,,White/Dusty Mauve,,,,,'4550457848602,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-cosmos-ash-rock-4.jpg?v=1725114057,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-white-dusty-mauve-1.jpg?v=1725114057,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,7,,,Mint Tint/White,,,,,'4550457296014,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-cosmos-ash-rock-5.jpg?v=1725114057,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-mint-tint-white-1.jpg?v=1725114057,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,7,,,Cool Grey/Safety Yellow,,,,,'4550457705431,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-cosmos-ash-rock-6.jpg?v=1725114057,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-cool-grey-safety-yellow-1.jpg?v=1725114056,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,7,,,Black/Bold Magenta,,,,,'4550457884839,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-mint-tint-white-1.jpg?v=1725114057,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-black-bold-magenta-1.jpg?v=1725114056,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,7,,,Cosmos/Ash Rock,,,,,'4550457316194,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-mint-tint-white-2.jpg?v=1725114057,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-cosmos-ash-rock-1.jpg?v=1725114057,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,7,,,Watershed Rose/Champagne,,,,,'4550457728898,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-mint-tint-white-3.jpg?v=1725114057,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-watershed-rose-champagne-1.jpg?v=1725114057,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,7.5,,,Cosmos/Ash Rock,,,,,'4550457316156,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-mint-tint-white-4.jpg?v=1725114057,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-cosmos-ash-rock-1.jpg?v=1725114057,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,7.5,,,Black/Bold Magenta,,,,,'4550457884846,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-mint-tint-white-5.jpg?v=1725114057,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-black-bold-magenta-1.jpg?v=1725114056,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,7.5,,,Mint Tint/White,,,,,'4550457295970,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-mint-tint-white-6.jpg?v=1725114057,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-mint-tint-white-1.jpg?v=1725114057,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,7.5,,,Watershed Rose/Champagne,,,,,'4550457728812,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-watershed-rose-champagne-1.jpg?v=1725114057,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-watershed-rose-champagne-1.jpg?v=1725114057,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,7.5,,,White/Dusty Mauve,,,,,'4550457848572,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-watershed-rose-champagne-2.jpg?v=1725114057,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-white-dusty-mauve-1.jpg?v=1725114057,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,7.5,,,Cool Grey/Safety Yellow,,,,,'4550457705554,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-watershed-rose-champagne-3.jpg?v=1725114057,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-cool-grey-safety-yellow-1.jpg?v=1725114056,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,7.5,,,White/Ash Rock,,,,,'4550457327725,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-watershed-rose-champagne-4.jpg?v=1725114057,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-white-ash-rock-1.jpg?v=1725114057,kg,,,,,,,,,,,,
asics-gel-pulse-15-womens-running-shoes-width-b,,,,,,,,,8,,,Watershed Rose/Champagne,,,,,'4550457728881,0,shopify,deny,retail-express,179.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-watershed-rose-champagne-5.jpg?v=1725114057,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0785/8765/8433/files/asics-gel-pulse-15-womens-running-shoes-watershed-rose-champagne-1.jpg?v=1725114057,kg,,,,,,,,,,,,
